States,2022estimates,2wheeler,3wheeler,4W,Bus,Total,EVSTATIONS,PCINCOME,TOTALEVVEHICLES,PetrolPrices,DieselPrices,Avg.annualhightempcelsius,Avg.annuallowtempcelsius,perkWhofbatterycapacityfor2w,MaxSubsidyfor2w,Roadtaxexemption2w,perkWhofbatterycapacityfor4w,MaxSubsidyfor4w,Roadtaxexemption4w,Avgunitrate,AirQualityIndex
Jharkhand,39000000,844,337,160,4,1345,7,75739,16811,99.81,94.61,29,18,Rs20000,1000,0%,Rs20000,Rs35000,0%,6.25,83
Assam,35400000,1000,13696,0,0,14696,7,86801,64766,96.01,83.94,29,18,Rs10000,20000,100%,Rs10000,Rs150000,100%,7.15,80
Punjab,30500000,610,243,258,9,1120,11,151491,14804,96.5,85.71,30,15,Rs20000,1000,100%,Rs20000,Rs35000,100%,7.5,130
Chhattisgarh,29800000,0,0,0,0,0,4,104989,20966,102.45,95.44,33,21,Rs20000,1000,0%,Rs20000,Rs35000,0%,7.9,74
Haryana,29800000,680,320,130,0,1130,55,247628,37035,97.34,90.2,31,19,Rs20000,1000,0%,Rs20000,Rs35000,0%,7.1,131
Delhi,21000000,11000,9000,1000,430,21430,322,376221,156393,96.72,89.62,13,33,Rs5000,30000,100%,Rs10000,Rs150000,100%,8,139
Jammu&Kashmir,13500000,0,317,0,0,317,9,104889,2941,99.81,85.15,20,7,Rs20000,1000,0%,Rs20000,Rs35000,0%,3.52,40
Uttarakhand,11500000,609,224,161,4,998,6,202895,31008,95.28,90.29,28,15,Rs20000,1000,0%,Rs20000,Rs35000,0%,6.55,80
HimachalPradesh,7400000,0,285,156,41,482,7,190407,1175,97.58,83.36,17,10,Rs20000,1000,0%,Rs20000,Rs35000,0%,5.65,64
Tripura,4100000,0,345,60,0,405,2,129675,9262,99.29,88.44,31,20,Rs20000,1000,0%,Rs20000,Rs35000,0%,7.2,115
Meghalaya,3318000,207,392,50,30,679,1,82182,49,96.42,83.13,21,12,Rs10000,20000,100%,Rs20000,Rs60000,100%,6.1,58
Manipur,3194000,230,279,70,12,591,1,84746,586,101.24,87.77,29,10,Rs20000,1000,0%,Rs20000,Rs35000,0%,6.75,59
Nagaland,2213000,0,0,0,0,0,2,120518,58,110.02,95.97,22,15,Rs20000,1000,0%,Rs20000,Rs35000,0%,7,64
Goa,1567000,0,60,205,3,268,4,435959,3870,97.75,90.3,32,23,Rs20000,1000,0%,Rs20000,Rs35000,0%,4.5,136
ArunachalPradesh,1548000,100,87,9,0,196,2,169742,20,95.89,84.81,15,31,Rs20000,1000,0%,Rs20000,Rs35000,0%,4,61
Puducherry,1608000,70,90,15,0,175,1,220949,2149,96.28,86.45,33,24,Rs20000,1000,0%,Rs20000,Rs35000,0%,6.45,155
Mizoram,1227000,0,50,20,0,70,6,187327,11021,95.84,82.25,11,29,Rs20000,1000,0%,Rs20000,Rs35000,0%,8.2,27
Chandigarh,1277000,612,0,0,0,612,6,330015,21,96.2,84.26,30,17,Rs20000,1000,0%,Rs20000,Rs35000,0%,4.65,132
Sikkim,683000,100,30,20,4,154,8,403376,183,102.7,89.8,18,28,Rs20000,1000,0%,Rs20000,Rs35000,0%,4,116
Dadra&NagarHaveliandDaman&Diu,1077000,150,0,30,0,180,8,81900,162,94.43,89.79,18,35,Rs20000,1000,0%,Rs20000,Rs35000,0%,3.4,153
Andaman&Nicobar,400000,0,0,0,0,0,2,218649,26,84.1,85.83,30,22,Rs20000,1000,0%,Rs20000,Rs35000,0%,7.5,31
Ladakh,297000,7,8,9,0,24,1,80000,26,104.48,91.39,-5.52,5.23,Rs20000,1000,0%,Rs20000,Rs35000,0%,3.5,47
Lakshadweep,68000,4,5,6,0,15,1,90000,251,81.45,86.31,31,25,Rs20000,1000,0%,Rs20000,Rs35000,0%,7,15
